,Identifier,TOR0
488,CEWBAJ,5.17
489,CEWBAJ,169.6
490,CFAMPR,178.97
491,CHGALD,173.31
492,CHGALD,173.77
493,CHNAPQ,177.4
494,CHNAPQ01,179.33
495,CHPRTA,179.6
496,CICHIF,178.03
497,CICHIF,179.65
498,CICHIF,179.57
499,CICQUB,179.26
500,CIHCOM,178.41
501,CIHCOM,4.06
502,CIHZOK,178.97
503,CIKVAU,176.51
504,CIKVAU,4.2
505,CIKVAU,178.42
506,CIKVAU,5.33
507,CIPSUQ,175.89
508,CIPSUQ,178.41
509,CIPSUQ,171.21
510,CIPSUQ,174.38
511,CISGIU,178.67
512,CITYIP,176.11
513,CITYIP,173.11
514,CITYIP,178.44
515,CITYIP,172.0
516,CIZFUO,4.92
517,CIZFUO,177.53
518,CLAHMB,174.99
519,CLAHMB,179.16
520,CLAHMB01,179.98
521,CLAHMB01,177.77
522,CLAHMB02,179.98
523,CLAHMB02,177.77
524,CLANAC,179.62
525,CLANAC10,179.81
526,CLANAC11,179.51
527,CLANDH,178.24
528,CLANDH01,178.15
529,CLAQPD,178.58
530,CLAQPD,174.28
531,CLBENQ,178.89
532,CLCORT,172.0
533,CLCORT,1.75
534,CLCROT10,179.41
535,CLCYBQ,177.75
536,CLCYBQ,178.33
537,CLCYBQ02,177.33
538,CLCYBQ02,178.31
539,CLCYDA,171.85
540,CLCYDA,173.25
541,CLCYDA,172.75
542,CLCYDA,174.03
543,CLCYDB,172.47
544,CLCYDB,169.82
545,CLCYPE,1.77
546,CLCYPE,175.91
547,CLFULV,175.74
548,CLFULV,170.92
549,CLFULV,174.11
550,CLFULV,168.55
551,CLFULV01,172.1
552,CLFULV01,169.97
553,CLFULV01,170.12
554,CLFULV01,166.98
555,CLMADA10,179.42
556,CLMANO,173.45
557,CLMBQO,177.64
558,CLMEDN,176.8
559,CLMEDN,168.98
560,CLMEDN,178.72
561,CLMEDN,171.98
562,CLMOCT,179.97
563,CLNOAN,179.75
564,CLNOAN,179.99
565,CLOARH,144.88
566,CLOARH,153.45
567,CLOARH,147.71
568,CLOARH,151.76
569,CLOFUL10,178.57
570,CLOFUL10,179.73
571,CLOFUL10,178.52
572,CLOFUL10,179.87
573,CLPYTZ,177.23
574,CLPYTZ,0.58
575,CLPYTZ,178.1
576,CLPYTZ,175.79
577,CLTROP10,179.6
578,CMABZQ10,178.46
579,CMANPQ,178.19
580,CMANPQ,1.91
581,CMHXPO,175.48
582,CMPYTO,177.13
583,CMTCDD10,177.55
584,CMTCDD10,178.38
585,CMYCZA,0.17
586,CMYCZA,7.22
587,CMYCZA,176.82
588,CNQNPO,177.58
589,CNQNPO,178.77
590,COBCIH,178.84
591,COBCIH,173.25
592,COBCIH,174.34
593,COBCIH,172.96
594,COBCIH,175.59
595,COBCIH,177.27
596,COBCIH,177.63
597,COBCIH,175.77
598,COBCIH,175.12
599,COBCIH,171.54
600,COBCIH,174.74
601,COBCIH,178.8
602,COBCIH,177.05
603,COBCIH,176.84
604,COBCIH,173.99
605,COBCIH,172.21
606,COBCIH,176.17
607,COBCIH,178.49
608,COBCUR,176.38
609,COBCUR,177.04
610,COBCUR,172.87
611,COBCUR,173.3
612,COCGIM,3.57
613,COCGIM,1.09
614,COCGIM,5.82
615,COCTCD,175.54
616,COCTCD,173.68
617,COFPAO10,178.88
618,COFPAO10,178.24
619,COFPAO10,169.39
620,COFPAO10,171.47
621,COMFRN,179.97
622,COMFRN,0.16
623,COQVIN,1.97
624,CORCUH,174.91
625,CORCUH,178.1
626,CORDAO,177.27
627,CORDES,173.87
628,CORDES,4.48
629,COROXN,0.0
630,CORPIJ,179.6
631,COSPUW,1.69
632,COSPUW,177.52
633,COSTON,1.14
634,COSTON,171.82
635,COTKAX,170.61
636,COTTIP,177.59
637,COTVAJ,176.37
638,COTVAJ,178.39
639,COVDEY,177.51
640,COVDEY,179.67
641,COXDHN,177.99
642,COXDHN,178.03
643,COXDHN01,180.0
644,COXDHN01,180.0
645,COXDHN01,180.0
646,COXDHN01,180.0
647,COZNUB,176.87
648,COZNUB,171.64
649,COZPAK,179.37
650,COZPAK,179.89
651,CPACHO,2.0
652,CPACHO,177.11
653,CPPCPD10,180.0
654,CPPCPD10,180.0
655,CPPCPD10,180.0
656,CPPCPD10,180.0
657,CTCYDD,173.36
658,CTCYDD,174.13
659,CTPHPT,174.1
660,CTPHPT,179.9
661,CUCLUH,173.63
662,CUCLUH,0.12
663,CUCLUH,176.81
664,CUCLUH,2.25
665,CUDYUV,176.95
666,CUDYUV,178.63
667,CUFKOD,1.3
668,CUFKOD,175.85
669,CUFLUK,177.78
670,CUFLUK,179.62
671,CUFLUK,178.54
672,CUFLUK,179.88
673,CUGGOA,176.03
674,CUGLAS,175.43
675,CUGLAS,175.05
676,CUGLAS,177.97
677,CUGLAS,174.48
678,CUHXOS,178.88
679,CUHXOS,177.82
680,CUHXOS,178.94
