,Identifier,TOR0
2078,KALCEH,178.12
2079,KALCEH,171.13
2080,KALCIL,179.56
2081,KALCOR,178.73
2082,KALYUS,177.25
2083,KALYUS,2.52
2084,KARRIE,172.04
2085,KASMAV,1.55
2086,KASMAV,177.2
2087,KAXCAO,175.9
2088,KAYRIM,178.73
2089,KAYRIM,169.47
2090,KAYRIM,179.45
2091,KAYRIM,178.04
2092,KCHLOR,177.54
2093,KCHLOR,177.85
2094,KCHLOR,179.46
2095,KCHLOR,177.81
2096,KCLNLA,177.08
2097,KCLNLA,173.95
2098,KCLNLA,178.21
2099,KCLNLA,176.7
2100,KECVET,178.79
2101,KECVET,179.25
2102,KEGMUG,3.03
2103,KEGMUG,176.72
2104,KEHTOH,176.85
2105,KEJDAE,173.77
2106,KEJDAE,175.28
2107,KEJDAE,179.68
2108,KEJDAE,179.52
2109,KEKNUK,174.28
2110,KENFIU,176.76
2111,KENFIU,177.67
2112,KEQPEC,177.78
2113,KEQPEC,179.25
2114,KESHUL,179.93
2115,KESHUL,1.0
2116,KESHUL,178.14
2117,KESHUL,2.26
2118,KEYYUK,178.53
2119,KHCMAL,178.62
2120,KHDCMT01,179.4
2121,KHDCMT01,179.57
2122,KHDCMT01,179.4
2123,KHDCMT01,179.57
2124,KHDCMT02,178.45
2125,KHDCMT02,179.31
2126,KHDCMT02,178.45
2127,KHDCMT02,179.31
2128,KHDCMT03,179.03
2129,KHDCMT03,179.65
2130,KHDCMT03,179.03
2131,KHDCMT03,179.65
2132,KHDCMT04,178.84
2133,KHDCMT04,179.47
2134,KHDCMT04,178.84
2135,KHDCMT04,179.47
2136,KICGAE,170.76
2137,KICGAE,171.74
2138,KIDBUU,178.34
2139,KIDBUU,0.3
2140,KIDCAB,175.27
2141,KIDCAB,5.36
2142,KIDCEF,179.66
2143,KIDCIJ,179.06
2144,KIDCIJ,1.26
2145,KIDCOP,172.28
2146,KIDCUV,172.86
2147,KIDDAC,177.46
2148,KIFXIH,179.12
2149,KIGFUD,180.0
2150,KIGKES,4.4
2151,KIGKES,0.16
2152,KIGKES,6.25
2153,KIJDEO,172.53
2154,KIJDIS,174.7
2155,KIJDOY,171.85
2156,KIJDUE,178.19
2157,KIJHIW,158.18
2158,KIJSIG,179.8
2159,KIJSOM,178.54
2160,KIKWAC,172.61
2161,KIKWAC,171.42
2162,KIKYEK,177.06
2163,KIKYEK,177.7
2164,KIKYEK,176.07
2165,KIKYEK,176.66
2166,KIKYEK,175.8
2167,KIKYEK,177.64
2168,KILMAV,3.3
2169,KIMSIK,179.59
2170,KIMSIK,176.62
2171,KIPCIX,176.49
2172,KIPCOD,177.29
2173,KIQJID,176.42
2174,KIQJOJ,177.12
2175,KIQJUP,177.19
2176,KIQKAW,178.92
2177,KIQKEA,178.78
2178,KIQKIE,178.9
2179,KIXWUJ,179.11
2180,KIXWUJ,179.31
2181,KIYBAW,177.62
2182,KIYBAW,173.68
2183,KOBZEG,179.53
2184,KOBZEG,178.62
2185,KODROK,179.0
2186,KOHDES,179.74
2187,KOJGAS,177.96
2188,KOJGAS,177.66
2189,KOJNUS,176.55
2190,KOJNUS,175.65
2191,KOJNUS,175.19
2192,KOJNUS,176.44
2193,KOJPAA,174.36
2194,KOJPAA,175.32
2195,KOJPAA,174.79
2196,KOJPAA,173.78
2197,KOMZER,177.66
2198,KOMZER,178.62
2199,KOMZER,179.21
2200,KOMZER,179.15
2201,KOQGEC,179.64
2202,KOQGEC,179.78
2203,KOQGIG,179.35
2204,KOQGIG,179.51
2205,KUBHIY,177.9
2206,KUFXUF,173.68
2207,KUFYAM,176.08
2208,KUFYAM,169.07
2209,KUFYAM,172.49
2210,KUFYAM,169.14
2211,KUFYEQ,171.27
2212,KUFYEQ,168.63
2213,KUFYEQ,170.98
2214,KUFYEQ,170.93
2215,KUHJII,0.03
2216,KUHJII,1.11
2217,KUJJII,179.08
2218,KUJJOO,0.33
2219,KUJTEQ,176.82
2220,KUJTEQ,177.82
2221,KUJTEQ,177.68
2222,KUJTEQ,179.34
2223,KUJTIU,179.15
2224,KUJTIU,179.99
2225,KUJTOA,179.53
2226,KUQRUK,179.52
2227,KUQRUK,179.3
2228,KUQRUK01,179.19
2229,KUQRUK01,179.89
2230,KUQRUK01,177.86
2231,KUQRUK01,180.0
2232,KUTBIL,1.11
2233,KUTBIL,179.35
2234,KUVCEJ,105.48
2235,KUXPID,179.75
2236,LABYUL,177.48
2237,LACFEB,176.69
